"Deutsch","Franz","Ital","Engl",,"Bemerkungen"
"# MSS

In der Registerkarte MSS befindet sich die Lagedarstellungfunktionalität. Diese Registerkarte ist inaktiv, falls die KADAS MSS-MilX Schnittstelle nicht installiert ist. Die Lagedarstellungfunktionalität beinhaltet das Zeichnen und Editieren von MSS Symbole und das Verwalten von MilX Ebenen.","# MSS

La fonctionnalité de la représentation de la situation se trouve dans l’onglet MSS. Cet onglet est inactif si l’interface KADAS MSS-MilX n’est pas installée. La fonctionnalité de représentation de la situation comprend le dessin et l’édition de symboles MSS et la gestion de niveaux MilX.","# MSS

Nella scheda MSS si trova la funzionalità di rappresentazione della posizione. Questa scheda non è attiva se l'interfaccia KADAS MSS-MilX non è stata installata. La funzionalità di rappresentazione della posizione comprende il disegno e la modifica dei simboli MSS e la gestione dei layer MilX.
","# MSS

The MSS tab contains the functionality for creating situation reports. This tab is inactive if the KADAS MSS-MilX interface is not installed. The situation report functionality includes drawing and editing MSS symbols and managing MilX layers.",,
"## MSS Symbole zeichnen

Die **_Symbol Hinzufügen_** Schaltfläche öffnet eine durchsuchbare Galerie von MSS Symbole. Nachdem ein Symbol in der Galerie ausgewählt wurde, kann es auf der Karte platziert werden.

Symbole werden in MilX Ebenen abgelegt. Diese sind im Karteninhaltsverzeichnis sichtbar. In der Symbolgalerie können neue MilX Ebenen erstellt werden sowie ausgewählt werden, welcher Ebene neu gezeichnete Symbole hinzugefügt werden.
","## Dessiner des symboles MSS

Le bouton **_Ajouter un symbole_** ouvre une galerie de symboles MSS où l’on peut effectuer des recherches. Après avoir sélectionné un symbole dans la galerie, on peut le placer sur la carte.

Les symboles sont placés au niveau MilX. Ils sont visibles dans le répertoire de la carte. On peut créer de nouveaux niveaux MilX et on peut également choisir à quel niveau les symboles que l’on vient de dessiner doivent être ajoutés.","## Disegnare i simboli MSS

Il pulsante **_Aggiungi simbolo_** apre una galleria sfogliabile di simboli MSS. Dopo aver scelto un simbolo dalla galleria, è possibile posizionarlo sulla mappa.

I simboli vengono raggruppati nei layer MilX, visualizzabili nella legenda della mappa. Nella galleria dei simboli, è possibile creare nuovi layer e scegliere a quale layer aggiungere i simboli disegnati.","## Draw MSS symbols

The **_Add Symbol_** button opens a searchable gallery of MSS icons. After an icon has been selected in the gallery, it can be placed on the map.

Symbols are stored in MilX layers. These are visible in the map layer tree. In the symbol gallery new MilX layers can be created as well specified to which layer newly drawn symbols are added.",,
"## MSS Symbole editieren

Bereits gezeichnete Symbole können nachträglich editiert werden, indem sie auf der Karte selektiert werden. **_Selektierte Objekte_** lassen sich verschieben, und, abhängig vom Symboltyp, können Knotenpunkte individuell verschoben werden sowie per Kontextmenü erstellt oder entfernt werden. Per Doppelklick oder Kontextmenü editieren kann der MilX Symboleditor geöffnet werden.

Eine weitere Editiermöglichkeit für **_Einpunktsymbole_** ist, ein Offset zwischen Symbolanchorpunkt und Symbolgraphik zu definieren. Der Ankerpunkt ist im Editiermodus als roter Punkt, standardmässig in der Mitte des Symbols, gezeichnet. Wir das Symbol am Ankerpunkt verschoben, so wir der Punkt zusammen mit der Graphik zugleich verschoben. Wird das Symbol an der Graphik, so wird nur die Graphik verschoben, und es erscheint eine schwarze Linie zwischen Ankerpunkt und Graphikmittelpunkt. Ein Offset lässt sich via Rechtsclick auf das Symbol wieder aufheben.

Bei **_Mehrpunktsymbole_** können, soweit es die Symbolspezifikation erlaubt, Knotenpunkte und allfällige Kontrollpunkte editiert werden. Knotenpunkte werden im Editiermodus als gelbe Punkte gezeichnet, Kontrollpunkte hingegen als rote Punkte. Letztere können z.B. Pfeilbreiten oder Gewichtungsparameter von Bezier Kurven steuern. Neben dem Verschieben der Punkte können per Rechtsclick neue Knotenpunkte hinzugefügt werden oder existierende gelöscht werden.

Analog zu Redlining-Objekte lassen sich MSS Symbole individuell oder als Gruppe verschieben, kopieren, ausschneiden und einfügen. Neben den Einträgen im Kontextmenü und den üblichen Tastaturkürzel gibt es dafür noch die **_Kopieren nach..._** und **_Verschieben nach..._** Schaltflächen am unteren Kartenrand. Letztere erlauben explizit eine Zielebene anzugeben, ansonsten wird die aktuell selektierte MilX Ebene als Zielebene genommen. Falls keine MilX Ebene selektiert ist, wird nach der Zielebene gefragt.
","## Editer des symboles MSS

On peut éditer les symboles déjà dessinés a posteriori en les sélectionnant sur la carte. Les **_objets sélectionnés_** peuvent être déplacés et, selon le type de symbole, les nœuds peuvent être déplacés individuellement, créés ou supprimés via le menu contextuel. L’éditeur de symbole MilX peut être ouvert par double clic ou par Editer dans le menu contextuel.

Pour les **_symboles à un point_**, il est également possible de choisir entre point d’ancrage symbole ou graphique symbole pour un offset. Dans le mode d’édition, le point d’ancrage est caractérisé par un point rouge, par défaut au milieu du symbole. Si le symbole est déplacé vers le point d’ancrage, le point est déplacé en même temps que le graphique. Si le symbole est vers le graphique, seul le graphique est déplacé et une ligne noire apparaît entre le point d’ancrage et le centre du graphique. On peut supprimer l’offset en faisant un clic droit sur le symbole.

Pour les **_symboles à plusieurs points_**, il est possible d’éditer des nœuds et des points de contrôle éventuels, tant que les spécifications du symbole le permettent. Dans le mode édition, les nœuds sont représentés par des points jaunes et les points de contrôle par des points rouges. Ces derniers peuvent contrôler la largeur des flèches ou les paramètres d’évaluation des courbes Bézier. En plus de déplacer les points, on peut ajouter de nouveaux noeuds ou en supprimer ou faisant clic droit.

De la même manière que pour les objets redlining, les symboles MSS peuvent être déplacés, copiés, coupés et collés individuellement ou en groupe. En plus des entrées du menu contextuel et des raccourcis clavier habituels, il y a aussi les boutons **_Copier vers..._** et **_Déplacer vers..._** en bas de la carte. Ces derniers permettent explicitement de spécifier une couche cible, par défaut la couche MilX actuellement sélectionnée est prise comme cible. Si aucune couche MilX n'est sélectionnée, la couche de destination sera demandée.
","## Modificare i simboli MSS

I simboli disegnati possono essere modificati successivamente selezionandole sulla mappa. Gli **_oggetti selezionati_** possono essere spostati e, a seconda del tipo di simbolo, è possi­bile spostare i singoli punti di controllo, nonché aggiungerne e rimuoverne tramite menu contestuale. Effet­tuando le modifiche tramite doppio clic o menu contestuale, è possibile aprire l'editor dei simboli MilX.

Un’ulteriore possibilità di modifica per i **_simboli mono-punto_** è quella di definire un offset tra punto di ancoraggio del simbolo e grafica del simbolo. Il punto di ancoraggio è disegnato nella modalità di modifica quale punto rosso, quale standard al centro del simbolo. Se il simbolo viene spostato sul punto di ancoraggio, il punto viene spostato contestualmente alla grafica. Se il simbolo viene spostato dalla grafica, si sposta solo la grafica e compare una linea nera tra il punto di ancoraggio e il punto centrale della grafica. L’offset può essere rimosso con un clic del tasto destro sul simbolo.

Nei **_simboli multi-punto_**, se permesso dalla specifica del simbolo, è possibile modificare i punti nodali e gli eventuali punti di controllo. Nella modalità di modifica, i punti nodali vengono disegnati quali punti gialli, i punti di controllo quali punti rossi. Questi ultimi possono ad esempio comandare la larghezza della freccia o i parametri di ponderazione delle curve di Bézier. Oltre allo spostamento dei punti, con il clic del tasto destro è possibile aggiungere nuovi punti nodali o cancellare quelli esistenti.

Analogamente alle figure redlining, è possibile spostare, copiare, tagliare ed incollare simboli MSS singolarmente o in gruppi. Oltre ai tasti di scelta rapida e le apposite voci nel menu contestuale, vi è la possibilità di usare le funzioni **_Copia a..._** e **_Sposta a..._** situate nella parte inferiore della mappa. Queste ultime permettono di specificare esplicitamente il layer di destinazione, altrimenti il layer MilX attuale viene usato come destinazione. Se nessun layer MilX è selezionato, viene richiesto di specificare il layer di destinazione.
","## Edit MSS symbols

Already drawn symbols can be subsequently edited by selecting them on the map. **-Selected objects_** can be moved and, depending on the symbol type, nodes can be moved individually or created or removed via the context menu. The MilX symbol editor can be opened by double-clicking or editing the context menu.

For **_one-point symbols_**, the user can place the symbol at an offset from the anchor point. The latter is displayed as a red point when editing the symbol, and is by default placed in the middle of the symbols. If the symbol is moved by its anchor point, then the symbol will be moved together with the anchor. If the symbols is moved by its symbol graphic, then only the latter is moved, and a line between the anchor point and the symbol graphic center will appear. The offset can be removed from the symbol context menu.

For **_multi-point symbols_**, node points and control points, if any, can be edited depending on the respective symbol schema. When editing the symbol, node points are drawn as yellow points, and control points as red points. Latter typically control attributes such as arrow widths or weighting parameters of bezier. Besides moving these points, the user can add new nodes or delete existing ones from the context menu.

Similar to redlining objects, MSS symbols can be moved, copied, cut and pasted individually or as a group. In addition to the entries in the context menu and the usual keyboard shortcuts, there are also the **_Copy to..._** and **_Move to..._** buttons at the bottom of the map frame. The latter allow to explicitly specify a target layer, otherwise the currently selected MilX layer is taken as the target layer. If no MilX layer is selected, the user will be asked to specify the destination layer.
",,"INFO:
Text aus Help 1.1 (Januar) ergänzt mit Text aus Hilfe 1.1 (November)"
"## Ebenenverwaltung

MSS Symbole werden in einer dedizierten **_MilX Ebene_** im Layerbaum abgelegt. Es können mehrere unabhängige MilX Ebenen erstellt werden. In der MSS Symbolgalerie wird ausgewählt, zu welcher Ebene ein Symbol hinzugefügt werden soll. Im Layerbaum können die individuellen Ebenen wie gewohnt ein oder ausgeschalten werden.

Eine spezielle Eigenschaft von MilX Ebenen ist die Möglichkeit, sie als **_Genehmigt_** zu markieren. Genehmigte Ebenen können nicht editiert werden, und taktische Symbole werden schwarz gezeichnet. Ob eine Ebene genehmigt ist lässt sich im Context-Menu der entsprechenden MilX Ebene im Layerbaum einstellen.
","## Gestion des couches

Les symboles MSS sont classés dans un **_niveau MilX_** dédié dans l’arborescence. On peut créer plusieurs niveaux MilX indépendants. Dans la galerie des symboles MSS, on peut choisir à quel niveau un symbole doit être ajouté. Comme d’habitude, les niveaux individuels peuvent être activés ou désactivés dans l’arborescence.

Les niveaux MilX présentent la caractéristique particulière de pouvoir être marqués comme **_Approuvé_**. Les niveaux approuvés ne peuvent pas être édités et les symboles tactiques apparaissent en noir. On peut marquer un niveau comme approuvé (ou enlever cet attribut) dans le menu contextuel du niveau MilX correspondant.
","## Gestione dei livelli

I simboli MSS vengono salvati in un **_livello MilX_** dedicato nell’albero dei livelli. È possibile creare più livelli MilX indipendenti. Nella galleria di simboli MSS viene scelto a quale livello debba essere aggiunto un simbolo. Nell’albero dei livelli è possibile attivare o disattivare i singoli livelli come di consueto.

Una caratteristica speciale dei livelli MilX è rappresentata dalla possibilità di marcarli come **_Approvati_**. I livelli approvati non possono essere modificati; i simboli tattici vengono disegnati in nero. Se un livello sia approvato è impostabile nel menù contestuale del rispettivo livello MilX nell’albero dei livelli.
","## Layer management

MSS symboles are stored in a dedicated **_MilX layer_** in the layer tree. Multiple independent MilX layers can be created. In the symbol gallery, the user can choose to which layer a new symbol will be added to. In the layer tree, individual layers can be enabled or disabled.

A special property of MilX layers is the possibility to mark them as **_Approved_**. Approved layers cannot be edited, and most symbols are drawn black and white. The user can set whether a layer is approved in the context menu of the layer tree.
",,
"## MilX Import und Export

MilX Ebenen können in eine MILXLY oder MILXLYZ Datei exportiert werden, und existierende MILXLY oder MILXLYZ Dateiein können als MilX Ebenen importiert werden. 
> MILXLY (und die komprimierten Variante MILXLYZ) ist ein Format für den Austausch von Lagedarstellungen. Es enthält ausschliesslich MSS Symbole der Lagedarstellung, und keine weitere Objekte wie Redlining, Stecknadeln oder Bilder.

Beim **_Export_** nach MILXLY(Z) kann ausgewählt werden, welche MilX Ebenen zu exportieren sind, und in welcher Version die Datei erstellt werden soll. Zudem kann gewählt werden, ob die im Druckdialog definierte Kartenkartusche exportiert werden soll.

Beim **_Import_** einer MILXLY(Z) Datei werden sämtliche darin enthaltenen Ebenen importiert. Falls die Datei MSS Symboldefinitionen gemäss eines älteren Standards enthält, werden diese automatisch konvertiert. Mögliche Konversionsverluste oder Fehler werden dem Benutzer mitgeteilt. Falls eine der importierten Ebenen eine Kartusche enthält, wird dem Benutzer gefragt, in ob diese in KADAS übernommen werden soll.
","## Importation et exportation MilX

Les niveaux MilX peuvent être exportés dans un fichier MILXLY ou MILXLYZ, et les fichiers MILXLY et MILXLYZ peuvent être importés en tant que niveaux MilX. 
> MILXLY (et la variante comprimée MILXLYZ) est un format d’échange de représentations de situation. Il comprend uniquement des symboles MSS de représentation de situation, et aucun autre objet tel que les redlinings, punaises ou images.

Lors de **_l'exportation_** vers MILXLY (Z), vous pouvez choisir les couches MilX à exporter et dans quelle version le fichier doit être créé. De plus, vous pouvez choisir d'exporter le cartouche de carte défini dans la boîte de dialogue d'impression.

**_L'importation_** d'un fichier MILXLY (Z) parcourt toutes les couches qu'il contient. Si le fichier MSS contient des définitions de symboles conformes à un ancien standard, ceux-ci sont automatiquement convertis. Les pertes de conversion possibles ou les erreurs sont communiquées à l'utilisateur. Si l'une des couches importées contient un cartouche, l'utilisateur sera invité à l'importer dans KADAS.","## Importazione e esportazione MilX

I livelli MilX possono essere esportati in un file MILXLY o MILXLYZ; i file MILXLY o MILXLYZ esistenti possono essere importati quali livelli MilX. 
> MILXLY (e la variante compres­sa MILXLYZ) è un formato per lo scambio delle rappresentazioni della posizione. Contiene sola­mente i simboli MSS della rappresentazione della posizione e nessun altro oggetto come figure redlining, spilli o immagini della fotocamera.

**_Nell'esportazione_** in formato MILXLY(Z) è possibile scegliere quali layer MilX esportare e in quale versione il file debba essere creato. Inoltre può venir specificato se esportare il cartiglio della mappa definito nel dialogo di stampa.

**_Nell'importazione_** di un file MILXLY(Z) vengono importati tutti i layer in esso contenuti. Qualora il file MSS contenga definizioni di simboli basate su un vecchio standard, queste verranno convertite automaticamente. Eventuali errori o perdite in fase di conversione vengono comunicati all'utente. Se uno dei layer importati contiene un cartiglio, l'utente viene chiesto se utilizzare questo cartiglio per la stampa.","## MilX import and export

MilX layers can be exported as MILXLY or MILXLYZ layers, and existing MILXLY or MILXLYZ layers can be imported. 
> MILXLY (and the compressed variant MILXLYZ) is a format for the exchange of situation reports. It contains only MSS symbols of the situation report, and no further objects like redlining, pins or camera pictures.

When **_exporting_** to MILXLY(Z) you can select which MilX layers to export and in which version the file should be created. In addition, you can choose whether to export the map cartouche defined in the print dialog.

**_Importing_** a MILXLY(Z) file imports all the layers it contains. If the MSS file contains symbol definitions according to an older standard, these are automatically converted. Possible conversion losses or errors are communicated to the user. If one of the imported layers contains a cartouche, the user will be asked if they should be imported into KADAS.",,"INFO:
Text aus Help 1.1 (Januar) ergänzt mit Text aus Hilfe 1.1 (November)"
"## OVL Import

OVL ist das Projektformat der Software PCMAP Swissline. Es wird nur die OVL Version 5.0 unterstützt. Ältere Dateien sollten mit der PCMAP Swissline Software aktualisiert werden, bevor sie in KADAS importiert werden.

> Der OVL Importer konvertiert darin enthaltene taktische Graphiken zu entsprechende MSS Symbole, während Geometrien und Beschriftungen in Redlining Objekte transformiert werden. Falls Konversionsfehler auftreten, werden diese dem Benutzer mitgeteilt. Auch bei erfolgreich konvertierten Objekte kann deren Darstellung gegenüber der PCMAP Swissline Software abweichen, somit ist es empfehlenswert, die importierten Daten zu überprüfen.
","## Importation OVL

OVL est le format de projet du logiciel PCMAP Swissline. Seul OVL Version 5.0 est supporté. Les fichiers plus anciens doivent être actualisés via le logiciel PCMAP Swissline avant d’être importés dans KADAS.

> L’importateur OVL convertit les graphiques tactiques qui y sont inclus en symboles MSS correspondants, tandis que les géométries et les annotations sont transformées en objets redlining. S’il y a des erreurs de conversion, l’utilisateur en est informé. La représentation peut varier par rapport au logiciel PCMAP Swissline même pour les conversions réussies, il est donc recommandé de vérifier les fichiers importés.
","## Importazione OVL

OVL è il formato dei progetti del software PCMAP Swissline. Viene supportata solamente la versione 5.0 di OVL. I file più vecchi devono essere aggiornati con il software PCMAP Swissline prima di poter essere importati in KADAS.

> L'importatore OVL converte i grafici tattici ivi contenuti nei simboli MSS corrispondenti, mentre le figu­re geometriche e le scritte vengono trasformate in oggetti Redlining. Gli eventuali errori in fase di conversione verranno comunicati all'utente. Anche nel caso di oggetti convertiti con successo, la loro rappresentazione può differire rispetto al software PCMAP Swissline. Pertanto è consigliabile control­lare i dati importati.
","## OVL import

OVL is the project format of the software PCMAP Swissline. Only OVL version 5.0 is supported. Older files should be upgraded with the PCMAP Swissline software before they are imported into KADAS.

> The OVL Importer converts tactical graphics contained within it into corresponding MSS symbols, while transforming geometries and labels into redlining objects. If conversion errors occur, they will be communicated to the user. Even with successfully converted objects, their presentation may differ from the PCMAP Swissline software, so it is advisable to check the imported data.
",,
"## Symbolgrösse, Liniendicke und Arbeitsmodus


","## Dimension des symboles, largeur des lignes et standard","## Dimensione simbolo, spessore linea e modalita di lavoro","## Symbol size, line width and work mode",,"Text hinzufügen"
,,,,,
,,,,,
,,,,,
